class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
1,qid:37,0,0,1,2,0,0,0,0,0,2,8,18,5,7,1,2,3
0,qid:38,1,1,1,1,0,0,0,1,0,0,3,11,3,3,1,2,3
1,qid:38,1,0,1,2,0,2,0,0,0,3,7,22,6,9,3,1.8,2
1,qid:39,0,0,0,3,0,1,0,0,0,2,5,15,4,6,1,2.2,3
0,qid:39,2,0,1,2,2,4,0,1,0,1,6,21,2,8,2,1.9,2
1,qid:40,0,0,2,0,0,1,0,1,1,0,6,19,6,7,2,2.1,2
0,qid:40,0,0,0,2,1,5,0,1,1,2,5,19,2,6,2,2.7,4
1,qid:41,1,0,1,1,1,2,0,0,0,0,4,10,0,5,1,2,2
0,qid:41,0,0,1,0,1,2,0,0,1,1,7,19,6,9,1,2.2,3
1,qid:42,2,0,2,0,1,3,0,0,0,1,8,22,4,8,2,2.5,4
0,qid:42,1,1,1,2,3,1,0,0,0,3,9,23,1,10,4,2.3,3
1,qid:43,0,2,1,0,2,3,0,0,0,2,7,18,1,9,3,1.9,3
0,qid:43,1,0,0,1,1,0,0,1,0,3,6,22,6,11,2,2.5,5
1,qid:44,0,0,0,0,2,4,0,1,0,2,4,14,1,6,3,2,3
0,qid:44,0,1,2,0,1,0,0,1,0,0,6,19,5,8,1,2.6,4
0,qid:45,2,0,1,1,0,2,0,1,0,1,7,21,6,9,2,1.7,3
1,qid:45,1,0,1,0,1,5,0,0,1,1,8,22,2,11,2,2.4,3
1,qid:46,1,1,1,0,1,5,0,0,0,1,7,19,2,8,3,2.3,3
0,qid:46,1,0,0,1,0,1,0,1,1,0,3,11,3,4,0,2.5,4
0,qid:47,1,1,0,0,0,4,0,0,0,3,7,19,2,8,3,2.9,5
1,qid:47,0,1,0,1,1,0,0,0,0,0,7,14,3,6,2,1.7,3
0,qid:48,0,0,2,3,2,3,0,0,0,1,7,19,1,9,3,2.4,3
1,qid:48,0,0,1,0,2,3,0,0,0,0,7,17,4,7,1,2.6,5
1,qid:49,0,0,1,0,3,2,0,2,0,1,8,20,2,6,2,1.3,2
0,qid:49,0,1,1,0,0,1,1,1,1,0,3,13,3,5,0,1.8,2
1,qid:50,2,0,0,1,0,2,0,1,0,0,6,16,3,7,2,2.1,3
0,qid:50,1,0,0,0,0,1,1,1,0,1,6,21,10,7,2,1.3,2
0,qid:51,0,0,0,0,1,5,0,0,0,0,5,13,2,6,2,2.2,3
1,qid:51,0,0,0,0,2,3,0,0,0,0,4,10,1,4,3,1.3,2
1,qid:52,2,0,1,0,0,0,0,0,0,0,5,12,4,4,1,1.8,3
0,qid:52,0,0,0,0,1,5,0,1,1,0,4,12,0,5,1,1.4,2
0,qid:53,1,0,0,0,0,6,0,0,0,1,10,21,3,7,2,2,3
1,qid:53,1,0,1,1,1,3,0,0,0,0,8,18,3,8,3,2,3
1,qid:54,0,0,1,1,2,2,0,1,0,0,3,12,2,5,0,1,1
0,qid:54,1,1,3,0,2,2,0,1,0,1,6,20,3,12,4,1.9,2
1,qid:55,0,0,0,2,1,3,0,0,0,2,6,23,8,11,1,1.6,3
0,qid:55,0,1,0,4,0,4,0,1,0,0,6,20,2,10,3,1.9,3
1,qid:56,1,0,1,0,3,0,0,0,0,1,4,10,0,4,2,1.3,2
0,qid:56,0,0,0,1,0,0,0,0,0,2,6,14,3,5,2,1.6,3
1,qid:57,0,0,1,0,0,1,0,0,0,0,5,10,3,4,0,2,3
0,qid:57,1,0,2,0,1,2,0,0,0,4,8,23,4,9,3,1.6,3
0,qid:58,0,0,1,2,1,3,0,0,0,1,9,23,6,9,3,1.7,2
1,qid:58,0,1,1,2,1,1,0,0,1,0,5,17,5,7,2,1.9,2
1,qid:59,0,0,1,0,0,1,0,0,0,0,5,11,3,4,2,1.3,2
0,qid:59,0,1,1,0,1,1,0,0,0,1,5,12,2,5,1,2,3
1,qid:60,3,1,2,0,2,3,0,0,0,2,6,23,4,9,3,1.6,2
0,qid:60,0,0,0,0,1,3,0,1,1,0,2,10,2,5,1,2,3
1,qid:61,0,1,0,0,2,5,0,1,1,0,7,20,3,9,4,1.3,2
0,qid:61,2,0,0,1,0,2,1,0,0,4,7,23,4,10,2,1.9,3
1,qid:62,1,1,0,2,0,0,0,0,0,1,6,14,3,4,1,2,3
0,qid:62,4,0,0,3,0,0,0,1,1,2,5,19,2,10,3,1.8,3
1,qid:63,1,0,0,0,2,4,0,0,1,1,12,25,4,8,4,2.4,4
0,qid:63,0,1,0,1,1,1,0,1,0,1,9,22,7,10,2,1.6,2
1,qid:64,1,0,2,1,0,1,0,0,1,1,6,14,1,7,3,1.6,2
0,qid:64,0,1,1,2,1,1,0,0,1,1,6,19,5,10,2,1.7,2
1,qid:65,1,2,0,0,1,2,0,0,1,1,7,19,4,8,1,2.9,4
0,qid:65,1,0,0,1,0,1,0,1,1,0,5,15,5,5,2,1.4,2
0,qid:66,0,0,0,1,0,2,1,0,0,1,2,8,1,4,1,1.3,2
1,qid:66,3,0,0,0,0,5,0,0,0,2,5,16,1,7,3,1.9,2
1,qid:67,0,1,0,2,1,0,0,0,0,0,9,20,5,7,2,1.3,2
0,qid:67,1,3,0,0,2,4,0,0,0,3,8,22,1,12,2,2.2,3
