class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
1,qid:1173,0,0,1,0,3,4,0,0,0,0,9,19,2,9,3,2.2,2
0,qid:1173,1,0,0,0,0,4,1,1,0,1,3,14,2,7,2,1.6,2
1,qid:1174,0,0,0,0,0,2,0,1,1,0,3,10,3,3,0,1,1
0,qid:1174,0,0,0,0,1,5,0,0,0,2,6,18,4,7,3,2.9,4
0,qid:1175,1,0,0,0,1,5,0,0,1,1,2,11,0,4,1,1.3,2
1,qid:1175,0,0,0,0,0,4,0,0,0,0,5,13,2,4,0,2.3,3
1,qid:1176,0,0,0,0,0,4,0,0,0,1,3,10,2,4,2,1,1
0,qid:1176,2,0,1,1,0,5,0,0,0,1,2,12,0,3,3,2,3
1,qid:1177,1,0,3,0,0,8,0,0,0,1,8,21,0,6,2,1.8,3
0,qid:1177,2,0,1,0,1,6,0,0,0,3,4,18,1,7,4,1.7,2
0,qid:1178,0,0,1,0,2,3,0,0,1,0,8,18,3,8,3,1.6,3
1,qid:1178,0,1,0,1,2,1,0,0,0,0,4,9,0,4,2,1.8,3
1,qid:1179,0,0,0,0,0,2,0,0,0,1,5,8,0,2,0,1.5,2
0,qid:1179,2,0,0,0,2,4,0,0,0,0,4,12,0,4,2,1.5,2
1,qid:1180,0,0,0,1,0,7,0,0,0,0,6,15,1,6,2,1.8,3
0,qid:1180,0,1,0,0,1,3,0,0,0,1,3,9,0,2,1,1,1
0,qid:1181,0,0,0,1,1,1,1,0,0,1,2,7,0,2,1,1,1
1,qid:1181,0,0,0,0,2,5,0,0,0,1,7,17,2,5,0,2.2,3
0,qid:1182,1,0,0,1,1,2,0,1,0,1,4,13,2,7,2,3.7,6
1,qid:1182,2,0,0,0,0,0,0,0,1,1,3,8,1,3,1,1.3,2
1,qid:1183,2,0,0,1,1,3,0,0,0,0,8,17,2,8,2,1.6,3
0,qid:1183,0,1,0,1,1,6,0,0,0,0,9,20,2,7,3,1.9,4
1,qid:1184,1,0,0,0,2,1,0,0,0,1,3,8,0,3,1,1.3,2
0,qid:1184,1,0,0,1,1,3,0,0,0,0,6,12,0,4,2,1.3,2
1,qid:1185,0,0,0,0,1,3,0,0,0,1,4,10,1,5,2,1.4,2
0,qid:1185,2,0,0,1,2,4,0,0,0,0,5,14,0,4,2,1.3,2
1,qid:1186,0,0,1,2,1,3,0,0,1,1,4,13,0,4,3,2.5,4
0,qid:1186,0,1,0,0,3,4,0,0,1,4,4,18,1,7,4,2,4
0,qid:1187,1,0,1,0,3,8,0,0,0,3,4,20,0,7,4,3,5
1,qid:1187,0,0,0,1,1,3,0,0,0,1,6,13,1,3,1,1.3,2
0,qid:1188,0,0,1,0,0,1,0,0,0,1,2,7,1,4,2,1.3,2
1,qid:1188,0,0,1,0,0,1,0,0,0,0,3,6,1,1,0,1,1
1,qid:1189,0,2,0,0,0,7,0,0,2,0,10,22,1,8,4,2.1,2
0,qid:1189,0,0,2,1,3,5,0,0,0,1,7,20,0,7,4,1.7,3
0,qid:1190,0,0,1,2,5,4,0,0,0,0,6,18,0,5,3,2,3
1,qid:1190,0,0,0,1,0,0,0,0,0,0,2,3,0,0,1,0,0
1,qid:1191,0,2,1,0,2,6,0,0,0,1,7,19,0,5,3,1.2,2
0,qid:1191,0,0,1,1,2,5,0,0,0,4,6,21,1,8,5,1.6,2
0,qid:1192,0,0,0,1,1,1,0,0,0,0,3,6,0,2,1,1.5,2
1,qid:1192,0,0,0,1,1,1,0,0,0,0,2,5,0,2,1,1.5,2
1,qid:1193,1,0,0,0,0,4,0,0,0,1,3,10,1,4,2,1.3,2
0,qid:1193,1,1,0,2,1,1,0,0,1,0,6,13,0,6,2,1.8,2
1,qid:1194,0,0,0,3,0,4,0,0,0,1,7,16,1,6,2,1.2,2
0,qid:1194,1,0,1,0,0,6,1,0,1,2,8,21,1,7,4,1.7,2
1,qid:1195,1,0,0,1,2,4,0,0,0,0,4,12,0,6,3,2,3
0,qid:1195,2,0,0,0,1,3,0,0,0,3,3,13,1,5,3,1,1
1,qid:1196,1,0,1,1,1,1,0,0,0,0,5,14,4,5,1,1.4,2
0,qid:1196,0,0,1,1,1,8,0,0,0,2,7,22,2,12,6,1.8,2
0,qid:1197,0,0,1,0,2,6,0,0,0,0,6,15,0,6,1,2.3,4
1,qid:1197,0,0,0,0,0,1,0,0,0,1,1,5,2,2,0,1,1
0,qid:1198,1,0,0,0,2,6,0,0,0,0,8,18,1,9,3,1.6,2
1,qid:1198,0,0,0,0,1,2,0,0,0,0,3,7,2,2,0,1,1
1,qid:1199,1,0,1,0,1,1,0,0,0,0,4,8,0,2,1,1,1
0,qid:1199,0,0,0,0,3,5,0,0,0,0,10,19,1,8,2,1.6,3
0,qid:1200,0,0,1,0,2,1,0,0,0,0,4,9,1,3,1,1,1
1,qid:1200,0,0,0,0,0,3,0,0,0,0,2,7,2,1,0,1,1
0,qid:1201,1,0,2,0,1,1,0,0,0,0,7,16,3,6,3,2.2,3
1,qid:1201,0,0,0,0,4,2,0,0,0,0,9,17,2,6,2,2.2,3
1,qid:1202,0,0,0,0,1,3,0,0,0,0,5,9,0,3,1,1.3,2
0,qid:1202,0,0,0,1,5,2,0,0,0,0,6,14,0,7,2,2.1,2
1,qid:1203,1,0,0,1,1,2,0,0,0,0,6,13,2,5,1,1.8,3
0,qid:1203,0,0,1,0,2,5,0,1,0,1,4,15,1,9,3,2,4
0,qid:1204,0,0,0,2,1,6,0,0,0,0,8,19,2,9,2,2.6,3
1,qid:1204,0,0,1,0,1,2,0,0,0,0,3,8,1,4,1,1.8,2
0,qid:1205,0,0,0,1,2,4,0,0,0,2,7,18,2,7,3,2.3,2
1,qid:1205,0,1,1,0,1,1,0,0,1,0,3,8,0,4,2,1.8,2
1,qid:1206,0,0,0,0,1,4,0,0,0,0,4,10,1,5,3,1,1
0,qid:1206,1,1,1,0,1,4,0,0,1,0,8,19,2,7,4,2.6,4
0,qid:1207,1,1,0,0,0,4,0,0,0,1,4,12,0,4,1,1.8,2
1,qid:1207,1,0,0,0,4,3,0,0,0,0,7,17,2,7,2,1.3,2
1,qid:1208,1,0,0,0,1,5,0,0,0,2,3,12,0,5,3,1.8,2
0,qid:1208,0,2,1,0,1,9,0,0,0,0,10,23,0,11,5,2,3
0,qid:1209,2,0,0,1,2,4,0,1,1,1,7,19,0,10,3,1.9,3
1,qid:1209,2,0,0,1,0,8,0,0,0,1,9,22,1,13,2,1.9,2
1,qid:1210,0,1,0,2,0,6,0,0,0,1,8,19,0,7,3,1.9,3
0,qid:1210,0,1,2,0,1,5,0,0,0,0,7,17,1,9,2,2,3
0,qid:1211,0,0,0,1,0,6,0,0,0,1,8,17,0,7,2,2.9,4
1,qid:1211,0,0,3,0,0,1,0,0,0,1,3,11,3,3,1,2,3
0,qid:1212,1,0,1,1,0,6,0,0,0,1,7,17,0,8,2,2.4,3
1,qid:1212,1,0,0,1,4,0,0,1,0,1,6,16,2,6,2,1.3,2
1,qid:1213,1,0,0,0,1,2,0,0,0,2,3,12,2,6,1,2,4
0,qid:1213,2,0,2,0,2,3,0,1,0,0,6,17,1,8,2,1.8,2
1,qid:1214,2,1,0,0,1,7,1,0,0,0,8,20,0,9,3,2.2,2
0,qid:1214,0,1,1,0,4,4,0,0,0,2,5,17,0,7,6,2,3
1,qid:1215,0,0,1,0,0,4,0,0,0,1,6,14,2,5,2,1.8,3
0,qid:1215,2,0,0,0,3,2,0,0,2,1,7,19,1,9,4,1.9,2
1,qid:1216,1,1,0,3,1,2,0,1,0,1,7,17,0,7,3,1.7,3
0,qid:1216,3,0,0,0,2,6,0,0,0,2,6,20,1,10,4,3.1,4
0,qid:1217,0,1,1,0,2,2,0,0,0,0,8,15,1,6,1,2,3
1,qid:1217,0,0,0,0,2,0,0,0,0,0,4,8,1,3,1,1,1
1,qid:1218,0,1,0,2,2,4,0,0,0,1,9,20,1,8,3,2.4,4
0,qid:1218,1,0,1,0,2,2,1,1,0,1,6,17,2,5,0,1.4,2
0,qid:1219,2,0,0,0,2,4,0,0,0,1,7,20,2,9,3,1.8,3
1,qid:1219,0,0,2,1,0,3,0,0,0,2,6,17,3,8,1,2.1,2
0,qid:1220,0,0,0,1,0,5,0,0,0,0,5,13,2,6,1,2,4
1,qid:1220,0,0,0,1,0,3,0,0,0,0,5,11,2,4,1,2,3
1,qid:1221,0,0,0,1,0,4,0,1,1,1,3,14,3,7,2,1.6,2
0,qid:1221,1,1,0,1,0,3,0,0,0,1,11,22,4,9,1,1.7,3
1,qid:1222,0,0,0,1,1,3,0,0,0,0,5,10,0,4,1,2.3,3
0,qid:1222,0,0,0,0,0,2,0,1,0,0,5,12,2,5,1,2.4,3
0,qid:1223,1,0,1,1,0,4,0,0,0,1,9,21,3,7,2,2.3,4
1,qid:1223,0,0,0,0,1,8,0,0,1,0,8,20,2,8,1,3.3,3
0,qid:1224,2,0,1,0,1,1,0,0,0,1,8,22,5,9,2,1.8,3
1,qid:1224,0,0,0,0,1,3,0,0,0,0,4,8,0,3,1,2,3
0,qid:1225,0,0,0,1,1,3,0,0,0,1,6,14,1,6,1,2.2,4
1,qid:1225,0,0,0,0,1,3,0,0,0,0,7,13,2,5,3,1.8,3
1,qid:1226,0,1,0,0,0,5,0,1,0,2,5,16,1,7,2,2.6,3
0,qid:1226,1,0,1,0,3,4,0,0,2,0,6,18,1,11,3,2.1,3
1,qid:1227,1,1,0,1,3,2,0,0,0,0,10,20,2,8,3,2.1,3
0,qid:1227,1,2,1,0,0,3,0,0,0,0,4,11,0,6,2,1.3,2
1,qid:1228,0,0,0,0,0,4,0,0,0,0,5,10,0,3,0,1.3,2
0,qid:1228,1,1,0,2,1,3,0,0,0,0,8,18,2,8,1,3,5
0,qid:1229,3,0,1,1,0,1,0,1,0,0,5,14,1,6,1,1.8,3
1,qid:1229,0,0,0,0,1,2,0,0,0,1,3,8,1,3,1,2,3
1,qid:1230,1,0,0,1,1,4,0,0,1,1,8,20,1,8,3,2,3
0,qid:1230,2,1,0,0,0,2,0,0,0,1,9,20,2,7,2,1.6,3
1,qid:1231,0,1,0,0,2,3,0,0,0,1,7,18,3,10,3,2.2,4
0,qid:1231,1,0,0,0,1,5,0,0,1,2,1,13,0,6,2,2.7,4
0,qid:1232,1,0,0,1,1,2,0,0,1,0,6,16,3,8,2,1.8,3
1,qid:1232,0,0,0,1,1,7,0,0,0,0,8,18,0,8,3,2.3,4
0,qid:1233,0,0,0,2,0,2,0,0,0,0,2,8,2,4,2,1.5,2
1,qid:1233,0,0,0,2,0,4,0,0,0,0,1,7,0,1,0,1,1
1,qid:1234,1,0,0,2,0,6,0,0,0,2,3,15,1,5,1,2,2
0,qid:1234,0,0,1,0,1,2,0,0,0,0,7,13,2,3,1,1,1
1,qid:1235,0,0,0,0,1,4,0,0,0,4,5,18,4,8,2,2.3,3
0,qid:1235,0,1,0,0,1,5,0,1,1,1,3,17,4,10,3,2.6,4
1,qid:1236,1,1,0,0,0,7,0,0,0,1,7,21,4,8,1,2.4,4
0,qid:1236,0,0,0,2,4,3,0,0,0,0,9,21,3,7,3,2,3
0,qid:1237,1,0,0,0,0,4,0,2,0,0,6,16,3,5,1,1.6,2
1,qid:1237,1,0,0,1,2,3,0,0,2,1,4,14,0,6,2,2,2
0,qid:1238,0,1,2,0,1,2,0,0,1,1,10,19,1,7,2,2.9,5
1,qid:1238,0,1,0,0,0,3,0,0,1,0,5,15,1,7,1,2.4,3
1,qid:1239,0,0,1,0,0,0,0,1,0,1,4,10,1,3,0,1,1
