class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
1,qid:2001,0,1,0,0,0,0,0,0,0,0,3,7,3,3,1,1.7,2
0,qid:2001,0,0,0,2,0,0,0,0,1,0,4,11,4,5,3,1.2,2
1,qid:2002,0,0,0,2,0,1,0,0,0,0,4,14,5,5,1,1.2,2
0,qid:2002,2,0,2,0,0,0,0,0,1,0,4,14,4,5,2,1.8,2
0,qid:2003,0,0,0,0,2,8,0,2,0,2,8,26,4,12,3,1.8,3
1,qid:2003,1,0,0,0,2,2,0,1,1,1,4,16,4,7,0,2.6,3
0,qid:2004,0,0,1,0,0,2,0,0,0,2,2,9,2,4,1,2,3
1,qid:2004,0,0,0,2,1,2,0,1,0,0,5,14,3,5,1,1.6,2
1,qid:2005,0,0,0,2,1,1,0,0,0,0,6,12,2,5,2,1.6,3
0,qid:2005,1,0,0,1,0,2,0,0,0,0,7,12,1,4,1,2.3,3
1,qid:2006,1,1,0,1,0,1,0,0,0,0,5,11,1,4,1,1.5,2
0,qid:2006,1,0,0,0,2,5,0,1,0,0,7,18,2,9,2,2.2,4
1,qid:2007,0,0,0,1,2,1,0,0,0,0,5,11,2,5,2,1.6,3
0,qid:2007,1,0,1,1,0,3,0,0,0,2,7,19,4,6,2,2.3,4
0,qid:2008,0,0,0,2,0,3,0,0,0,0,8,21,3,6,2,1.3,2
1,qid:2008,0,0,0,0,1,2,0,0,0,1,6,16,5,10,2,1.9,3
0,qid:2009,3,0,0,0,2,4,0,0,0,1,8,26,5,9,2,1.4,2
1,qid:2009,0,0,0,0,1,1,0,0,0,0,4,11,5,3,2,1.7,2
1,qid:2010,0,1,0,0,2,2,0,0,0,0,4,12,2,4,0,2,3
0,qid:2010,0,0,1,1,1,2,0,1,0,1,3,11,1,4,2,1.3,2
1,qid:2011,0,0,0,0,1,3,0,0,0,0,6,12,1,5,2,1.8,2
0,qid:2011,0,0,0,1,1,3,0,0,0,1,6,16,2,7,1,1.6,3
1,qid:2012,1,0,0,1,0,3,0,0,0,0,5,13,2,5,2,2.2,3
0,qid:2012,0,1,0,0,1,3,0,1,0,1,4,16,5,10,2,2.4,3
1,qid:2013,0,0,0,0,1,4,0,0,0,0,6,15,3,7,3,1.7,2
0,qid:2013,0,0,0,0,1,3,0,0,0,1,5,12,1,4,1,1,1
1,qid:2014,0,0,0,0,0,4,0,0,0,0,4,11,2,4,1,2,3
0,qid:2014,0,0,0,0,2,2,0,0,1,0,4,11,2,6,2,2.2,3
1,qid:2015,0,0,1,0,0,1,0,0,1,0,3,9,3,4,0,1.5,2
0,qid:2015,0,1,1,1,1,2,0,0,1,1,7,22,6,10,2,2,3
0,qid:2016,0,0,0,0,1,1,0,0,0,0,5,11,3,4,2,2,3
1,qid:2016,0,0,0,0,1,1,0,0,0,0,3,8,3,3,1,1.3,2
1,qid:2017,0,0,0,0,0,3,0,0,0,0,5,10,2,4,1,1.5,2
0,qid:2017,0,0,0,0,2,9,0,0,0,2,11,29,4,13,6,1.9,3
0,qid:2018,0,0,0,0,1,2,0,0,0,0,7,12,2,3,2,1.3,2
1,qid:2018,0,0,1,1,0,2,0,0,0,0,5,11,2,4,1,1.8,2
1,qid:2019,0,0,0,0,0,4,0,0,0,0,4,9,1,4,1,1.5,2
0,qid:2019,0,0,0,1,2,5,0,0,0,0,7,15,0,6,2,1.5,2
1,qid:2020,0,0,0,0,1,2,0,0,0,1,2,10,4,5,2,1,1
0,qid:2020,1,1,0,0,0,2,0,0,0,2,2,8,0,2,1,1,1
0,qid:2021,0,0,0,1,1,2,0,2,0,1,8,23,8,9,1,3.2,5
1,qid:2021,0,0,0,1,0,2,0,0,0,0,4,9,2,3,1,1.3,2
0,qid:2022,0,1,0,0,1,4,0,0,1,0,6,15,2,6,1,2.2,3
1,qid:2022,0,0,0,1,0,4,0,0,0,1,7,16,3,6,2,3,4
0,qid:2023,0,2,0,1,2,3,0,0,0,0,5,14,1,7,3,2.4,3
1,qid:2023,0,0,0,0,0,1,0,1,1,0,3,10,4,3,0,1.3,2
1,qid:2024,0,0,1,0,0,2,0,0,0,0,2,7,2,2,0,1.5,2
0,qid:2024,2,1,0,1,1,5,0,0,0,0,6,22,4,7,3,1.9,3
1,qid:2025,0,0,0,1,1,2,0,0,0,1,5,11,1,4,1,2.3,3
0,qid:2025,1,0,0,0,1,9,0,0,0,1,12,27,2,11,4,2.2,4
0,qid:2026,0,0,1,1,4,1,0,0,1,0,7,21,6,8,2,1.9,3
1,qid:2026,0,0,0,1,1,2,1,0,0,0,5,11,1,4,1,2.5,4
1,qid:2027,1,0,1,2,1,7,0,1,0,0,12,26,1,11,3,1.9,3
0,qid:2027,4,0,1,0,2,5,0,0,0,1,16,41,4,13,2,2.5,4
1,qid:2028,2,1,0,0,1,1,0,0,0,0,9,21,2,6,1,1.7,3
0,qid:2028,0,0,1,0,0,0,0,0,0,0,5,10,2,4,1,1.8,3
0,qid:2029,2,0,0,0,2,1,0,0,0,0,12,25,3,6,1,2,3
1,qid:2029,2,0,0,0,1,1,0,0,0,0,6,18,3,4,0,2,3
0,qid:2030,0,0,1,0,3,7,0,0,0,2,11,34,2,13,3,2.5,5
1,qid:2030,0,0,0,0,2,4,0,0,0,0,7,19,3,5,1,2.2,3
1,qid:2031,0,1,0,0,0,3,0,0,1,0,4,12,3,5,1,2.8,4
0,qid:2031,0,1,0,2,3,1,0,0,0,1,8,18,2,8,2,2.1,3
1,qid:2032,0,0,0,0,0,3,0,0,0,0,6,16,2,4,1,1.5,2
0,qid:2032,0,0,0,1,0,2,0,0,0,1,5,15,6,7,1,2.1,4
